中央卫视频道,#genre#
CCTV8,http://122.189.103.26:8888/rtp/228.0.0.158:7158$湖北sxup
CCTV8,http://171.213.169.137:8188/rtp/239.93.42.39:5140$四川cphp9
CCTV8,http://123.116.125.121:8012/rtp/239.3.1.175:8001$北京sxup
CCTV8,http://171.213.164.202:6666/rtp/239.93.42.39:5140$四川cphp12
CCTV8,http://114.244.240.166:4022/rtp/239.3.1.175:8001$北京sxup
CCTV9,http://110.181.236.30:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV9,http://110.181.238.190:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
CCTV9,http://110.181.232.172:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信12
CCTV9,http://110.181.234.85:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV9,http://110.181.237.202:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV9,http://110.181.235.27:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信4
CCTV9,http://110.181.236.164:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV9,http://110.181.234.38:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV9,http://110.181.239.201:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV9,http://110.181.232.202:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV9,http://1.193.60.239:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV9,http://110.181.238.30:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV9,http://218.17.33.178:53290/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
CCTV9,http://110.181.237.186:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV9,http://110.181.239.77:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV10,http://110.181.239.201:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV10,http://110.181.237.202:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV10,http://110.181.236.30:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信3
CCTV10,http://110.181.239.77:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV10,http://110.181.238.30:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV10,http://110.181.238.190:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
