辽宁电信 4K,#genre#
CCTV-13 新闻,http://10.255.129.26:6060/ZTE_EPG16/2/9013?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-14 少儿,http://10.255.129.26:6060/ZTE_EPG16/2/9212?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-15 音乐,http://10.255.129.26:6060/ZTE_EPG16/2/9015?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-16 奥林匹克,http://10.255.129.26:6060/ZTE_EPG16/2/9305?virtualDomain=ZTE_EPG16.live_hls.zte.com
CCTV-17 农业农村,http://10.255.129.26:6060/ZTE_EPG16/2/9207?virtualDomain=ZTE_EPG16.live_hls.zte.com
CETV1,http://10.255.129.26:6060/ZTE_EPG16/2/9244?virtualDomain=ZTE_EPG16.live_hls.zte.com
CETV4,http://10.255.129.26:6060/ZTE_EPG16/2/9314?virtualDomain=ZTE_EPG16.live_hls.zte.com
CGTN-英语新闻,http://10.255.129.26:6060/ZTE_EPG16/2/9242?virtualDomain=ZTE_EPG16.live_hls.zte.com
CGTN-纪录,http://10.255.129.26:6060/ZTE_EPG16/2/9243?virtualDomain=ZTE_EPG16.live_hls.zte.com
CGTN-俄语,http://10.255.129.26:6060/ZTE_EPG16/2/9322?virtualDomain=ZTE_EPG16.live_hls.zte.com
CGTN-西语,http://10.255.129.26:6060/ZTE_EPG16/2/9319?virtualDomain=ZTE_EPG16.live_hls.zte.com
CGTN-阿语,http://10.255.129.26:6060/ZTE_EPG16/2/9321?virtualDomain=ZTE_EPG16.live_hls.zte.com
CGTN-法语,http://10.255.129.26:6060/ZTE_EPG16/2/9320?virtualDomain=ZTE_EPG16.live_hls.zte.com

辽宁频道(备用),#genre#
辽宁卫视,http://10.255.129.26:6060/ZTE_EPG16/2/9200?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁都市,http://10.255.129.26:6060/ZTE_EPG16/2/9330?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁影视剧,http://10.255.129.26:6060/ZTE_EPG16/2/9332?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁体育休闲,http://10.255.129.26:6060/ZTE_EPG16/2/9331?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁生活,http://10.255.129.26:6060/ZTE_EPG16/2/9991?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁教育青少,http://10.255.129.26:6060/ZTE_EPG16/2/9327?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁北方,http://10.255.129.26:6060/ZTE_EPG16/2/9992?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁公共,http://10.255.129.26:6060/ZTE_EPG16/2/9122?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁经济,http://10.255.129.26:6060/ZTE_EPG16/2/9121?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁移动电视,http://10.255.129.26:6060/ZTE_EPG16/2/9329?virtualDomain=ZTE_EPG16.live_hls.zte.com
辽宁宜佳购物,http://10.255.129.26:6060/ZTE_EPG16/2/9333?virtualDomain=ZTE_EPG16.live_hls.zte.com
